Name	Handle	Party
Michael Turner	@RepMikeTurner	Republican
Marcia L. Fudge	@RepMarciaFudge	Democrat
Troy Balderson	@RepBalderson	Republican
Tim Ryan	@RepTimRyan	Democrat
David Joyce	@RepDaveJoyce	Republican
Steve Stivers	@RepSteveStivers	Republican
Anthony Gonzalez	@RepAGonzalez	Republican
James Lankford	@SenatorLankford	Republican
Jim Inhofe	@InhofePress	Republican
Kevin Hern	@RepKevinHern	Republican
Markwayne Mullin	@RepMullin	Republican
Frank Lucas	@RepFrankLucas	Republican
Tom Cole	@TomColeOK04	Republican
Stephanie Bice	@stephaniebice	Republican
Ron Wyden	@RonWyden	Democrat
Jeff Merkley	@SenJeffMerkley	Democrat
Suzanne Bonamici	@RepBonamici	Democrat
Cliff Bentz	@RepBentz	Republican
Earl Blumenauer	@repblumenauer	Democrat
Peter DeFazio	@RepPeterDeFazio	Democrat
Kurt Schrader	@RepSchrader	Democrat
Jenniffer Gonzalez-Colon	@Jenniffer2012	Republican
Patrick Toomey	@SenToomey	Republican
Bob Jr. Casey	@SenBobCasey	Democrat
Brady Fitzpatrick	@RepBrianFitz	Republican
Brendan Boyle	@CongBoyle	Democrat
Dwight Evans	@RepDwightEvans	Democrat
Madeleine Dean	@RepDean	Democrat
Mary-Gay Scanlon	@RepMGS	Democrat
Chrissy Houlahan	@RepHoulahan	Democrat
Susan Wild	@RepSusanWild	Democrat
Matt Cartwright	@RepCartwright	Democrat
Daniel Meuser	@RepMeuser	Republican
Scott Perry	@RepScottPerry	Republican
Lloyd Smucker	@RepLloyd	Republican
Fred Keller	@RepFredKelle	Republican
John Joyce	@RepJohnJoyce	Republican
Guy Reschenthaler	@GReschenthaler	Republican
Glenn Thompson	@CongressmanGT	Republican
Mike Kelly	@MikeKellyforPA	Republican
Conor Lamb	@RepConorLamb	Democrat
Michael Doyle	@USRepMikeDoyle	Democrat
Sheldon Whitehouse	@SenWhitehouse	Democrat
Jack Reed	@SenJackReed	Democrat
David Cicilline	@RepCicilline	Democrat
Jim Langevin	@jimlangevin	Democrat
Tim Scott	@SenatorTimScott	Republican
Lindsey Graham	@LindsayGrahamSC	Republican
Nancy Mace	@NancyMace	Republican
Joe Wilson	@RepJoeWilson	Republican
Jeff Duncan	@RepJeffDuncan	Republican
William Timmons	@RepTimmons	Republican
Ralph Norman	@RepRalphNorman	Republican
James E. Clyburn	@WhipClyburn	Democrat
Tom Rice	@RepTomRice	Republican
John Thune	@SenJohnThune	Republican
Mike Rounds	@SenatorRounds	Republican
Dusty Johnson	@RepDustyJohnson	Republican
Marsha Blackburn	@MarshaBlackburn	Republican
Bill Hagerty	@BillHagertyTN	Republican
Diana Harshbarger	@DHarshbargerTN1	Republican
Tim Burchett	@RepTimBurchett	Republican
Chuck Fleischmann	@RepChuck	Republican
Scott DesJarlais	@DesJarlaisTN04	Republican
Jim Cooper	@repjimcooper	Democrat
John W. Rose	@RepJohnRose	Republican
Mark Green	@RepMarkGreen	Republican
David Kustoff	@DavidKustoff	Republican
Steve Cohen	@RepCohen	Democrat
Ted Cruz	@SenTedCruz	Republican
John Cornyn	@JohnCornyn	Republican
Louie Gohmert	@replouiegohmert	Republican
Dan Crenshaw	@RepDanCrenshaw	Republican
Van Taylor	@RepVanTaylor	Republican
Pat Fallon	@FallonForTexas	Republican
Lance Gooden	@Lancegooden	Republican
Ron Wright	@RepRonWright	Republican
Lizzie Fletcher	@RepFletcher	Democrat
Kevin Brady	@RepKevinBrady	Republican
Al Green	@RepAlGreen	Democrat
Michael T. McCaul	@RepMcCaul	Republican
August Pfluger	@AugustPfluger	Republican
Kay Granger	@RepKayGranger	Republican
Ronny Jackson	@RonnyJacksonTX	Republican
Randy Weber	@TXRandy14	Republican
Vincente Gonzalez	@RepGonzalez	Democrat
Veronica Escobar	@RepEscobar	Democrat
Pete Sessions	@SessionsTX17	Republican
Sheila Jackson Lee	@JacksonLeeTX18	Democrat
Jodey Arrington	@JodeyArrington	Republican
Joaquin Castro	@JoaquinCastrotx	Democrat
Chip Roy	@RepChipRoy	Republican
